id,created,role,player_demand,trading_result,trading_result_stage1,total_cost,total_values,profit,profit_accuracy,end_penalty,penalty_perunit,penalty_phase_total,question,price_perfect_expectation,required_units_expectation,price_real_expectation,units_missing,vouchers_used,vouchers_negative,vouchers_used_stage1,vouchers_negative_stage1,auction_id,group_id,period_id,player_id
46,2017-11-02 18:34:05.093459,0,14,1467,85,171,0,1296,0,0,0,0,1,35,14,87,0,14,0,0,3,282325,11,1,107
1,2017-11-02 18:34:04.524733,1,14,235,-155,0,1946,2181,0,0,0,0,1,60,17,65,0,14,0,30,0,282325,10,1,98
64,2017-11-02 18:34:05.286655,0,12,930,290,291,0,639,0,0,0,0,1,-1,-1,-1,0,16,0,5,0,282325,11,3,111
22,2017-11-02 18:34:04.740637,0,14,696,646,225,0,471,0,0,0,0,1,-1,-1,-1,0,15,0,15,0,282325,10,3,99
20,2017-11-02 18:34:04.728173,1,14,-605,-610,0,1946,1341,0,0,0,0,1,-1,-1,-1,0,14,0,14,0,282325,10,3,104
63,2017-11-02 18:34:05.276828,0,12,710,910,171,0,539,0,0,0,0,1,-1,-1,-1,0,14,0,18,0,282325,11,3,109
53,2017-11-02 18:34:05.136667,0,5,681,681,291,0,390,0,0,0,0,1,-1,-1,-1,0,16,0,16,0,282325,11,2,105
16,2017-11-02 18:34:04.665653,0,10,358,279,65,0,293,0,0,0,0,1,-1,-1,-1,0,11,0,10,0,282325,10,2,103
13,2017-11-02 18:34:04.644205,0,10,641,-93,171,0,470,0,0,0,0,1,-1,-1,-1,0,14,0,0,3,282325,10,2,97
11,2017-11-02 18:34:04.630483,1,10,-496,-78,0,1390,894,0,0,0,0,1,-1,-1,-1,0,10,0,2,0,282325,10,2,102
48,2017-11-02 18:34:05.103754,0,14,850,290,291,0,559,0,0,0,0,1,-1,-1,-1,0,16,0,7,0,282325,11,1,111
4,2017-11-02 18:34:04.545269,1,14,-161,-110,0,1946,1785,0,0,0,0,1,80,60,87,0,14,0,11,0,282325,10,1,104
3,2017-11-02 18:34:04.539796,1,14,-454,-240,0,2641,2187,0,0,0,0,1,40,22,35,0,19,0,10,0,282325,10,1,102
44,2017-11-02 18:34:05.076439,1,14,2,-465,0,1946,1948,0,0,0,50,1,10,60,15,0,14,0,25,0,282325,11,1,112
6,2017-11-02 18:34:04.558357,0,14,225,225,865,0,-640,0,0,0,0,1,40,15,40,0,21,0,21,0,282325,10,1,99
2,2017-11-02 18:34:04.531680,1,14,-605,110,0,1946,1341,0,0,0,0,1,-1,-1,-1,0,14,0,0,15,282325,10,1,100
5,2017-11-02 18:34:04.552922,0,14,515,-115,371,0,144,0,0,0,0,1,85,60,80,0,17,0,0,10,282325,10,1,97
57,2017-11-02 18:34:05.159356,1,13,-1283,72,0,1807,524,0,0,0,60,1,-1,-1,-1,0,13,0,0,3,282325,11,3,106
58,2017-11-02 18:34:05.165333,1,12,-1932,-1695,0,3475,1543,0,0,0,0,1,-1,-1,-1,0,25,0,23,0,282325,11,3,108
32,2017-11-02 18:34:04.852322,0,17,931,540,371,0,560,0,0,0,0,1,60,12,87,0,17,0,12,0,282325,10,4,103
25,2017-11-02 18:34:04.764687,1,17,-679,-954,0,2363,1684,0,0,0,0,1,60,15,60,0,17,0,22,0,282325,10,4,98
30,2017-11-02 18:34:04.837940,0,18,984,604,465,0,519,0,0,0,0,1,66,12,60,0,18,0,14,0,282325,10,4,99
50,2017-11-02 18:34:05.118350,1,5,-2855,-2135,0,4726,1871,0,0,0,0,1,-1,-1,-1,0,34,0,27,0,282325,11,2,108
55,2017-11-02 18:34:05.146820,0,5,460,650,2.8,0,457.2,0,0,0,0,1,-1,-1,-1,0,5,0,10,0,282325,11,2,109
52,2017-11-02 18:34:05.131364,1,4,5,-650,0,556,561,0,0,0,0,1,-1,-1,-1,0,4,0,15,0,282325,11,2,112
56,2017-11-02 18:34:05.152221,0,5,990,550,291,0,699,0,0,0,0,1,-1,-1,-1,0,16,0,8,0,282325,11,2,111
49,2017-11-02 18:34:05.112041,1,5,-1312,-267,0,2502,1190,0,0,0,0,1,-1,-1,-1,0,18,0,0,0,282325,11,2,106
51,2017-11-02 18:34:05.125659,1,5,531,301,0,0,-501,0,792,99,1032,1,-1,-1,-1,8,0,3,0,1,282325,11,2,110
54,2017-11-02 18:34:05.141742,0,4,1500,870,291,0,1209,0,0,0,0,1,-1,-1,-1,0,16,0,7,0,282325,11,2,107
8,2017-11-02 18:34:04.568884,0,14,110,70,29.2,0,30.799999999999997,0,0,0,50,1,95,60,87,5,9,0,7,0,282325,10,1,103
42,2017-11-02 18:34:05.063124,1,15,-1718,332,0,2502,784,0,0,0,0,1,5,30,6,0,18,0,0,15,282325,11,1,108
19,2017-11-02 18:34:04.683804,1,15,-1512,118,0,2085,573,0,0,0,0,1,-1,-1,-1,0,15,0,0,7,282325,10,3,102
39,2017-11-02 18:34:04.973646,0,9,467,387,29.2,0,437.8,0,0,0,0,1,-1,-1,-1,0,9,0,7,0,282325,10,5,101
38,2017-11-02 18:34:04.962026,0,10,784,825,127,0,657,0,0,0,0,1,-1,-1,-1,0,13,0,15,0,282325,10,5,99
21,2017-11-02 18:34:04.734892,0,14,1410,-400,171,0,1239,0,0,0,10,1,-1,-1,-1,0,14,0,0,10,282325,10,3,97
12,2017-11-02 18:34:04.635482,1,10,-335,-165,0,1390,1055,0,0,0,0,1,-1,-1,-1,0,10,0,5,0,282325,10,2,104
15,2017-11-02 18:34:04.658002,0,10,518,96,29.2,0,406.8,0,52,52.5,82,1,-1,-1,-1,1,9,0,3,0,282325,10,2,101
23,2017-11-02 18:34:04.746331,0,15,810,265,171,0,528,0,81,81,111,1,-1,-1,-1,1,14,0,5,0,282325,10,3,101
9,2017-11-02 18:34:04.620313,1,10,-186,-474,0,1390,1204,0,0,0,0,1,-1,-1,-1,0,10,0,18,0,282325,10,2,98
10,2017-11-02 18:34:04.625457,1,10,-1069,80,0,2780,1711,0,0,0,0,1,-1,-1,-1,0,20,0,0,2,282325,10,2,100
14,2017-11-02 18:34:04.652051,0,10,569,355,291,0,278,0,0,0,0,1,-1,-1,-1,0,16,0,13,0,282325,10,2,99
59,2017-11-02 18:34:05.171101,1,12,153,166,0,1251,1107,0,297,99,507,1,-1,-1,-1,3,9,0,5,0,282325,11,3,110
36,2017-11-02 18:34:04.947105,1,9,-705,-705,0,1807,1102,0,0,0,0,1,-1,-1,-1,0,13,0,13,0,282325,10,5,104
24,2017-11-02 18:34:04.752200,0,14,721,471,171,0,550,0,0,0,0,1,-1,-1,-1,0,14,0,11,0,282325,10,3,103
18,2017-11-02 18:34:04.678633,1,14,-1040,0,0,1946,906,0,0,0,0,1,-1,-1,-1,0,14,0,0,0,282325,10,3,100
26,2017-11-02 18:34:04.774101,1,18,-2859,670,0,2502,-357,0,0,0,0,1,80,10,40,0,18,0,0,15,282325,10,4,100
60,2017-11-02 18:34:05.179555,1,13,-730,-680,0,1807,1077,0,0,0,0,1,-1,-1,-1,0,13,0,12,0,282325,11,3,112
62,2017-11-02 18:34:05.264216,0,13,1050,0,171,0,879,0,0,0,0,1,-1,-1,-1,0,14,0,0,0,282325,11,3,107
61,2017-11-02 18:34:05.242126,0,13,1102,937,291,0,811,0,0,0,0,1,-1,-1,-1,0,16,0,14,0,282325,11,3,105
17,2017-11-02 18:34:04.673505,1,14,-480,-490,0,1946,1466,0,0,0,0,1,-1,-1,-1,0,14,0,14,0,282325,10,3,98
35,2017-11-02 18:34:04.937470,1,9,-720,-985,0,1529,809,0,0,0,0,1,-1,-1,-1,0,11,0,18,0,282325,10,5,102
40,2017-11-02 18:34:05.031982,0,9,630,650,29.2,0,600.8,0,0,0,0,1,-1,-1,-1,0,9,0,12,0,282325,10,5,103
27,2017-11-02 18:34:04.780990,1,18,-851,-390,0,2502,1651,0,0,0,0,1,70,10,40,0,18,0,9,0,282325,10,4,102
34,2017-11-02 18:34:04.870556,1,10,-466,563,0,1112,583,0,63,31.5,63,1,-1,-1,-1,2,8,0,0,10,282325,10,5,100
28,2017-11-02 18:34:04.787341,1,17,-1323,-548,0,3197,1874,0,0,0,0,1,-1,-1,-1,0,23,0,11,0,282325,10,4,104
33,2017-11-02 18:34:04.863442,1,9,-516,-736,0,1251,735,0,0,0,0,1,-1,-1,-1,0,9,0,13,0,282325,10,5,98
29,2017-11-02 18:34:04.793689,0,17,2350,-70,1475,0,875,0,0,0,0,1,55,12,25,0,24,0,0,2,282325,10,4,97
31,2017-11-02 18:34:04.845495,0,18,1447,148,371,0,1076,0,0,0,0,1,70,17,50,1,17,0,3,0,282325,10,4,101
65,2017-11-02 18:34:05.343843,1,9,-450,-250,0,1390,940,0,0,0,0,1,50,50,40,0,10,0,5,0,282325,11,4,106
66,2017-11-02 18:34:05.349910,1,9,-3241,-1350,0,4170,929,0,0,0,0,1,50,30,50,0,30,0,15,0,282325,11,4,108
37,2017-11-02 18:34:04.953564,0,9,526,1,44,0,482,0,0,0,0,1,-1,-1,-1,0,10,0,0,0,282325,10,5,97
43,2017-11-02 18:34:05.069355,1,14,-811,-500,0,2085,1274,0,0,0,0,1,-1,-1,-1,0,15,0,10,0,282325,11,1,110
41,2017-11-02 18:34:05.057044,1,14,-763,-85,0,1946,1183,0,0,0,0,1,-1,-1,-1,0,14,0,3,0,282325,11,1,106
45,2017-11-02 18:34:05.085406,0,15,513,183,371,0,142,0,0,0,0,1,-1,-1,-1,0,17,0,12,0,282325,11,1,105
7,2017-11-02 18:34:04.563667,0,14,135,215,171,0,-36,0,0,0,0,1,-1,-1,-1,0,14,0,18,0,282325,10,1,101
47,2017-11-02 18:34:05.098717,0,14,460,160,171,0,289,0,0,0,0,1,70,15,139,0,14,0,7,0,282325,11,1,109
67,2017-11-02 18:34:05.355225,1,9,61,115,0,1807,1868,0,0,0,0,1,45,100,45,0,13,0,0,2,282325,11,4,110
72,2017-11-02 18:34:05.386647,0,9,620,0,225,0,395,0,0,0,0,1,-1,-1,-1,0,15,0,0,0,282325,11,4,111
69,2017-11-02 18:34:05.366567,0,9,935,795,225,0,710,0,0,0,0,1,-1,-1,-1,0,15,0,13,0,282325,11,4,105
71,2017-11-02 18:34:05.381031,0,9,935,670,291,0,644,0,0,0,0,1,-1,-1,-1,0,16,0,13,0,282325,11,4,109
70,2017-11-02 18:34:05.375609,0,9,1450,650,291,0,1159,0,0,0,0,1,74,10,20,0,16,0,5,0,282325,11,4,107
68,2017-11-02 18:34:05.360648,1,9,-310,-630,0,1251,941,0,0,0,0,1,61,9,11,0,9,0,13,0,282325,11,4,112
73,2017-11-02 18:34:05.393829,1,16,-1025,245,0,2224,1199,0,0,0,0,1,-1,-1,-1,0,16,0,0,4,282325,11,5,106
79,2017-11-02 18:34:05.474102,0,16,847,446,371,0,476,0,0,0,0,1,-1,-1,-1,0,17,0,12,0,282325,11,5,109
77,2017-11-02 18:34:05.463188,0,15,1030,520,465,0,565,0,0,0,0,1,-1,-1,-1,0,18,0,11,0,282325,11,5,105
80,2017-11-02 18:34:05.479463,0,16,1325,350,371,0,954,0,0,0,10,1,-1,-1,-1,0,17,0,3,0,282325,11,5,111
76,2017-11-02 18:34:05.457656,1,15,-713,-593,0,2085,1372,0,0,0,0,1,-1,-1,-1,0,15,0,12,0,282325,11,5,112
78,2017-11-02 18:34:05.468732,0,16,1494,325,291,0,1203,0,0,0,0,1,-1,-1,-1,0,16,0,3,0,282325,11,5,107
74,2017-11-02 18:34:05.401569,1,16,-3160,-1085,0,4726,1566,0,0,0,0,1,-1,-1,-1,0,34,0,13,0,282325,11,5,108
75,2017-11-02 18:34:05.451799,1,16,202,-208,0,417,-2533,0,3022,232.5,3372,1,-1,-1,-1,13,3,0,8,0,282325,11,5,110
