id,idd,value_cum,value,auction_id
36,1,0,0,282325
37,2,0.1,0.1,282325
38,3,0.4,0.30000000000000004,282325
39,4,1.1,0.7000000000000001,282325
40,5,2.8000000000000003,1.7000000000000002,282325
41,6,5.800000000000001,3.0000000000000004,282325
42,7,10.700000000000001,4.9,282325
43,8,18.2,7.499999999999998,282325
44,9,29.200000000000003,11.000000000000004,282325
45,10,44,14.799999999999997,282325
46,11,65,21,282325
47,12,92,27,282325
48,13,127,35,282325
49,14,171,44,282325
50,15,225,54,282325
51,16,291,66,282325
52,17,371,80,282325
53,18,465,94,282325
54,19,580,115,282325
55,20,710,130,282325
56,21,865,155,282325
57,22,1040,175,282325
58,23,1245,205,282325
59,24,1475,230,282325
60,25,1735,260,282325
61,26,2030,295,282325
62,27,2360,330,282325
63,28,2730,370,282325
64,29,3145,415,282325
65,30,3600,455,282325
66,31,4100,500,282325
67,32,4660,560,282325
68,33,5270,610,282325
69,34,5940,670,282325
70,35,6670,730,282325
