id,app_label,model
1,auth,permission
2,auth,group
3,contenttypes,contenttype
4,dAuction2,user
5,dAuction2,treatment
6,dAuction2,auction
7,dAuction2,group
8,dAuction2,period
9,dAuction2,player
10,dAuction2,page
11,dAuction2,distribution
12,dAuction2,player_stats
13,dAuction2,voucher
14,dAuction2,voucherre
15,dAuction2,phase
16,dAuction2,timer
17,dAuction2,offer
18,dAuction2,penalty
19,dAuction2,question
20,dAuction2,option_mc
21,dAuction2,player_questions
22,dAuction2,player_question_options
23,admin,logentry
24,sessions,session
